hexCode,vCode,vType
F025220ED8,2CB2C0F509,5
7BE0B5427D,5866554315,5
616D902123,23C34992B5,5
0B90DF99E1,4B56E56DC5,5
5EE488AB35,CD4030E96B,5
ED7D8B95FB,321D5F4183,5
E89C91D33C,8E0FD36B56,5
C92FAD1119,BF1CD21ED4,5
883858AB86,10FB35B094,5
447A50802F,DF1F013584,5
BC3CD23F96,E1CBDAD66C,5
66251BB617,E9F156D5AF,5
5E15F2BE6B,B2620D1EC0,5
55B356D0CA,D43182670B,5
C89587367B,A1E71A4B12,5
FB967EA13A,E786085F3A,5
4F8CDA582B,1D27A9EB28,5
6F6A5F6A0F,46AF102614,5
14CBAF1914,F0023414F8,5
DEB764B856,E04AC3CEDC,5
1E93D841D9,D867F3E5BC,5
1637F4257F,F974C2734B,5
25D8400F79,6C20D07360,5
4D494E3E5E,3CA92F2856,5
B964BDF281,7EF1050B13,5
881DD055F4,65FCF028B4,5
E7320C1C4A,77165835DB,5
F9A628AA15,CBE6CB9E0F,5
5B208CB36F,8A70CE6A1B,5
E9197F77D7,96DD075035,5
4C26EBF0D0,A633E39251,5
0EA404D54E,12DE74D31A,5
69AD138BAA,093FD03A42,5
E40617143D,AAB7512405,5
56D502D420,AFF3886A5A,5
F4641473D4,D7F62B47A6,5
7EE35BA2C7,268A82A07E,5
5CCDB670FF,EBC105335C,5
4B4D0B1ECE,8BFBEECB22,5
7CC6D9150B,62E471A59D,5
8A27011926,3E6FBFDE4C,5
70A6CB1772,8F77D80A0B,5
D9A3B34DEC,8D236DE98C,5
A9E742AAAB,8EEC93546E,5
1EA7016615,C7FD0A5201,5
EE14C09EC0,35BF97A4FB,5
C831336DBC,789E8B6A26,5
4EFB61ECD1,6E29B371CD,5
6DCC3A525D,CF4325933F,5
6D086D4DAA,3F3B0EFED2,5
2D23061DD3,1236D09CA3,5
FD4118560B,8BF86823BA,5
7F7CC1880E,AAF8245861,5
CCC266B33F,55F6E0BDCD,5
70470503D0,5A47DF084F,5
6A7D97533B,3E3AB3A185,5
BCCA7251D5,79AF8D35DC,5
FC4CDB1105,D581D5AB21,5
F43F4E324F,2142481B05,5
84CDE338B5,AB7C936F5A,5
B4A6F68A69,94AE7E0C90,5
B90DF1C064,49E756358C,5
81574919AC,CD28A40C83,5
C27D4D6935,A3C7450355,U
61D64EB8BB,178B41F46E,5
250A56769B,5BE32B05D8,5
7F81D01D90,7C51838C3A,5
F147D25E94,D545AD32D3,5
0CCB8C0CCC,9103ADF15F,5
51A8EE67DC,4D01A158E7,5
53C2576688,EBD3F93E1B,5
5E77F2D84B,C47403700A,5
9D67EEE677,490599FBCC,5
5EF555BE0F,54F31467C2,5
C77F7E4ACF,D8857C4E65,5
D2E21F464E,B46B6CA316,5
DE038DC097,2F0A6294A9,5
F90FDCDBC2,F1F5C70CBC,5
77A6FB7CD7,EB57C8F0D0,5
2530E3D11A,86ECC00201,5
46CF367E45,2D0F67A733,5
621B1642C9,660D0BAD6C,5
0667653CC7,0EACCBB6B3,5
F18EE667C2,D253CA0B72,5
85EEA8E5B5,CC295E01D4,5
87F12B5523,8573B480B6,5
C40411F2AE,46BBFCD254,5
14D644C1EA,85287613D3,5
170143556B,AD9C8C908F,5
A95A51E22F,0ACCB4ECA8,5
93D5A855C4,D82F0EDFC1,5
8591452F6E,328C98F68B,5
1125078DB0,DF6CCA083B,5
F9E354FEF6,6F75332133,5
428C1AF71D,5594AE2475,5
F5C75F67A4,B6EC0FB26A,5
29430E0F3F,9BEA00B693,5
39305BC512,22AA331D87,5
DB733D659E,11A545BFE0,5
BE07713E60,A5B2603731,5
E2072741D5,BDC55843EE,5
F8BEAA4FEB,5F242F1452,5
6486BF66EC,82D64F6D56,5
4A24F38B4A,BC4044C882,5
77B36DE7DF,A4EBB1905A,5
44EFE56E3E,4F2C163DC6,5
91547A5C98,C01D309D42,5
2922A1516A,F3F9D1A000,5
BC748A8580,D5ECFA5208,5
E63329441C,3AA545C53A,5
0083949C40,32073DC834,5
6C0A6EE7B7,F8BD23D5C3,5
8B2C59A28E,212E145CF3,5
7F802D8D7B,45CA96BF49,5
9A4AA07C6B,D34C36051A,5
4D9BBAF990,7D72F5089F,5
048A021ABF,0EF778692A,5
FFF8164154,3B80F8F379,5
B6913BBCF2,A4DCA79559,5
DB2A034ABA,E180133BCA,5
BD449F546C,48987F01E1,5
8961C57FC6,ECD8AB545A,5
DC73424D2D,B58EA273C1,5
D30EC40321,ABC53F3D12,5
81397A6BEB,6A416D996B,5
52E55EFCE7,47405F83A9,5
91806DFEBF,13A7F7CC2E,5
8E8034B61E,8C5B03D9CC,5
68C597A56D,E374933613,5
70C03EA5A7,8624BE587A,5
E91ED7A2DE,B004B773F4,5
9CCA7B381E,9B927ED786,5
403FC30ACD,CBDA3AA05E,5
772C6094DE,D8087AA839,5
AC6BB00DC3,7C0AD84F69,5
F8A57E05D0,172DEE0A0B,5
E5EC52632B,E9C865D927,5
87A2288B14,22E688847F,5
55D968E4A4,E43B0A490E,5
DE88C266C1,8.56E+06,5
5D074AB6F0,EF78543336,5
6AFAC3A283,3769E28823,5
915CD22F0D,EC1A89F904,5
C5835AFCCE,F7935165DD,5
60FB1EA3B9,1CADF6B5AC,5
25A8904CA8,D38572AF24,5
13CFC3B9FA,5284C185BE,5
FA78434470,0DE870FEDF,5
FD59A0B3D6,254781094B,5
5AF5E5190D,8DCAF5D27C,5
EA840997C5,A439C9210A,5
BE75ECF2EE,789AF8700F,5
95848E9D2C,66954ECB2E,5
4E806F9945,BAB7C96486,5
504B582270,5564F701EE,5
D83C5299CD,3EE4F49DEE,5
7A7510A389,B5ACF5B4BB,5
2061AD6ACC,BAEF0799F7,5
D237E67B2B,ABCF7DFD55,5
0F16A510C3,27B174D69E,5
924878B2E8,A09E60C1FD,5
27E47FFCC7,070E272296,5
36C105D7D7,34F42744CD,5
8B67410245,A553C1C860,U
EA2204EC83,B02345B281,5
A68BD98389,53C295B1C2,5
D8CCC68C7B,9F4E6A9D84,5
D4376398EE,A72D4C6B17,5
501DEF695A,33FC91D805,5
A22F5DE1A2,D521B6DE41,5
999BD59009,4406092C5E,5
2AD339381D,CF72C7CD33,5
31FAB68484,3D375D6B63,5
3C717B464D,C0AE8743AB,5
376D76D0D1,82DB8C2366,5
7EB9D62102,0F9534983C,5
785328BD0C,8B9FF3E4ED,5
F6CC94694D,2CEB66B2D0,5
F4C0780C71,856D2A57A3,5
2A566AC864,80FCBC9A24,5
18826F2CAF,C9C714C810,5
F0190658CB,DB62BA3B89,5
6BF552C567,AF81831712,5
43DAA7A1A1,ACFF479FFD,5
672736A3D9,09A02F6184,5
452327DE07,77A58DFD6E,5
0B54242A98,88A117D2D5,5
3370232A60,9EBED7F7F8,5
5FA93BC5C2,881C45ADE8,5
1FBA574F52,B048D7E403,5
40EC82C676,0625CC406F,5
52BB9C5FCB,E043CD1BDF,5
8F503A19AE,9D74957A2F,5
A089007023,526BC57530,5
6FEA1A4721,4BFA9403CE,5
732B49CA9B,E8A45DAC87,5
FFE9982129,8F3D9A1269,5
919C66A3BB,BC12B8E6D1,5
5158B3E5FD,F8E39C0068,5
1D70B226A6,F67FC60E6C,5
3151F24343,168A1C0E06,5
2BB3CCD4E5,86C8B637E0,5
5DE41B7B59,C7B0DF737C,5
38ACFB5B0D,AB149AD355,5
2B491E1F9A,7CE30BD118,5
003D40DB5F,69BC2C403C,5
DE4C0E3EBF,622281996E,5
4E8F3797D5,C73FBB88CD,5
DE8AF1AB0B,CB869710DD,5
6D49D02661,06918CFA4E,5
DC0284E8DA,5BDF64864E,5
C9AB77BEA7,966F9B96F5,5
6FC5313C22,6EE3152D6A,5
EF5ED6EBC7,CAD07E86F0,5
5FB45D355C,3937642369,5
3CDB0E3D20,C16A59261B,5
90E304BC79,B111607237,5
6991F129B1,55E6BA011D,5
6A7633325E,04A16DC84A,5
E0BC0F4109,D119EC2EFA,5
F2EF981135,D5FCDD63D5,5
ACA7400421,E5A3FD9247,5
2AFCCC5846,E7AAE90D29,5
D33422019A,7EADEAE05E,5
61ADEF5E0B,DB4B3861D1,5
6381E3EEA6,BCC8F2C8B8,5
8CFFE1B072,128D1AD4C4,5
15FA379816,519EA96765,5
59E45BF058,069125D06E,5
54BF8E7FC5,47EA97E8B5,5
CFDEEA0EAF,CDB54E5D85,5
6A8024FE51,4DB59DD2B7,5
1EE35EAD91,135D934B18,5
A609F22DEE,F2B5D55BFE,5
A512126EF0,BB5A647BE2,5
2EF79B210D,681ABD2EC3,5
071811E3D5,0535D6DB30,5
95D46BB7FE,2C586A239F,5
DA8303187E,64BD5900EE,5
7B0BEF27E7,9D80D0E231,5
F8929C63CA,E36EB39BC4,5
63332AC12D,AF713E89AB,5
B4234ECAFD,DAC5B156E4,5
FA2E30E8E6,5788718D91,5
F1B972925F,C81F53D0F6,5
E6F7814261,BA0029A544,5
EF2CE1D42E,A9E1AE3E5D,5
19C0E7F0A2,0E72DF286D,5
224E176B35,F144352609,5
6118202D48,9121934888,5
6A5D5A50C8,6EE147D1D6,5
160B1299A6,5154A6F1A4,5
BFBC9ADA60,A43F2417DC,5
C86A6DC936,ACB2D71A87,5
61B373CBE4,C0CC0B0872,5
38354E0FC7,6FD7D395E8,5
F1285752B5,1A513DCC64,5
81AEDDE2E8,6ABF2AD630,5
D6AC91B50D,47F2F263E4,5
3A44DA597B,C4A6E2AB2F,5
50B451C79B,A82761FDDF,5
FBC152DE09,BF11209CA1,5
7B2D86C3F1,A390E8B10C,5
2B6E664960,6629DBAECF,U
